Date,window,strategy,structure,position,lots,pnl,capital_after,iv_direction_correct
2025-05-13,8,data_driven,butterfly,LONG_FLY,3,-11040.000000000004,101042.49999999994,True
2025-05-22,8,data_driven,butterfly,SHORT_FLY,7,9957.499999999996,110999.99999999994,False
2025-05-26,8,data_driven,butterfly,LONG_FLY,21,10893.75,121893.74999999994,False
2025-05-27,8,data_driven,butterfly,LONG_FLY,50,-10937.5,110956.24999999994,False
2025-05-28,8,data_driven,butterfly,LONG_FLY,50,9875.000000000042,120831.24999999999,True
2025-06-09,8,data_driven,butterfly,SHORT_FLY,3,-12018.75,108812.49999999999,True
2025-06-17,8,data_driven,butterfly,LONG_FLY,13,10546.249999999996,119358.74999999999,True
2025-06-18,8,data_driven,butterfly,LONG_FLY,29,-11708.750000000025,107649.99999999996,False
2025-06-19,8,data_driven,butterfly,LONG_FLY,39,10529.9999999999,118179.99999999985,True
2025-06-20,8,data_driven,butterfly,SHORT_FLY,50,-3937.5000000000427,114242.49999999981,False
2025-06-23,8,data_driven,butterfly,LONG_FLY,42,-11287.49999999994,102954.99999999987,False
2025-06-25,8,data_driven,butterfly,LONG_FLY,5,-8787.500000000002,94167.49999999987,True
2021-09-29,1,manual_agree,butterfly,SHORT_FLY,50,3937.5000000002556,103937.50000000026,True
2021-12-01,1,manual_agree,butterfly,SHORT_FLY,3,9809.999999999993,113747.50000000026,True
2022-03-02,2,manual_agree,butterfly,SHORT_FLY,2,10814.999999999998,124562.50000000026,True
2022-04-27,2,manual_agree,butterfly,SHORT_FLY,38,-12350.000000000107,112212.50000000016,True
2022-07-11,3,manual_agree,butterfly,LONG_FLY,1,6680.000000000001,118892.50000000016,True
2022-08-29,3,manual_agree,butterfly,SHORT_FLY,3,9014.999999999995,127907.50000000016,True
2022-09-26,3,manual_agree,butterfly,SHORT_FLY,3,-11302.499999999995,116605.00000000016,True
2023-03-10,4,manual_agree,butterfly,SHORT_FLY,29,-11454.999999999885,105150.00000000028,True
2023-03-17,4,manual_agree,butterfly,LONG_FLY,12,-10229.999999999989,94920.00000000029,True
2023-03-21,4,manual_agree,butterfly,LONG_FLY,50,-5375.0000000000855,89545.0000000002,True
2023-04-28,4,manual_agree,butterfly,LONG_FLY,35,-8749.999999999975,80795.00000000023,True
2023-08-03,5,manual_agree,butterfly,SHORT_FLY,4,6729.99999999999,87525.00000000022,False
2023-10-04,5,manual_agree,butterfly,SHORT_FLY,5,-8374.999999999985,79150.00000000023,False
2024-05-30,6,manual_agree,butterfly,SHORT_FLY,16,-7519.999999999936,71630.00000000029,False
2024-08-02,7,manual_agree,butterfly,SHORT_FLY,5,6374.999999999993,78005.00000000029,True
2024-08-07,7,manual_agree,butterfly,LONG_FLY,24,-7709.99999999998,70295.0000000003,True
2024-08-26,7,manual_agree,butterfly,LONG_FLY,50,5000.0000000000355,75295.00000000033,False
2024-09-12,7,manual_agree,butterfly,LONG_FLY,1,-7788.749999999999,67506.25000000033,True
