Date,strategy,option_type,strike,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2024-08-26,data_driven,PE,25000.0,2024-08-29,3,160.0,82.15,25,-1946.2499999999998,False
2024-08-29,data_driven,PE,25150.0,2024-09-05,7,185.95,116.55,25,-1734.9999999999998,True
2024-09-04,data_driven,CE,25200.0,2024-09-05,1,57.0,54.2,25,-69.99999999999993,True
2024-09-06,data_driven,CE,24850.0,2024-09-12,6,348.75,167.25,25,-4537.5,True
2024-09-09,data_driven,PE,24950.0,2024-09-12,3,231.55,121.75,25,-2745.0000000000005,True
2024-09-10,data_driven,PE,25050.0,2024-09-12,2,150.0,92.55,25,-1436.25,True
2024-09-12,data_driven,CE,25400.0,2024-09-19,7,37.0,118.9,25,2047.5000000000002,False
2024-09-20,data_driven,PE,25800.0,2024-09-26,6,301.05,154.35,25,-3667.5000000000005,False
2024-10-04,data_driven,CE,25000.0,2024-10-10,6,371.0,206.05,25,-4123.75,True
2024-10-08,data_driven,PE,25000.0,2024-10-10,2,255.25,142.9,25,-2808.75,False
2024-11-01,data_driven,CE,24300.0,2024-11-07,6,217.75,192.95,25,-620.0000000000002,True
2024-11-06,data_driven,PE,24500.0,2024-11-07,1,339.0,108.35,25,-5766.25,True
2024-11-25,data_driven,PE,24200.0,2024-11-28,3,210.0,117.95,25,-2301.25,True
2024-12-19,data_driven,CE,23950.0,2024-12-26,7,232.0,241.45,25,236.24999999999972,True
2024-12-23,data_driven,CE,23750.0,2024-12-26,3,170.0,108.45,25,-1538.75,False
2024-12-24,data_driven,CE,23750.0,2024-12-26,2,106.05,77.5,25,-713.7499999999999,False
2024-12-26,data_driven,PE,23750.0,2025-01-02,7,129.9,156.95,25,676.2499999999995,False
2024-12-31,data_driven,CE,23650.0,2025-01-02,2,100.0,155.7,25,1392.4999999999998,True
2025-01-06,data_driven,CE,23600.0,2025-01-09,3,436.5,204.85,25,-5791.25,True
2025-01-08,data_driven,CE,23700.0,2025-01-09,1,122.8,68.05,25,-1368.75,False
2025-01-13,data_driven,CE,23100.0,2025-01-16,3,271.0,149.3,25,-3042.4999999999995,True
2025-01-16,data_driven,PE,23300.0,2025-01-23,7,160.0,167.6,25,189.99999999999986,False
2025-01-28,data_driven,CE,22950.0,2025-01-30,2,131.15,151.05,25,497.5000000000001,True
2025-01-29,data_driven,PE,23150.0,2025-01-30,1,203.25,152.1,25,-1278.7500000000002,False
2025-02-05,data_driven,PE,23700.0,2025-02-06,1,84.9,81.1,25,-95.00000000000028,True
2025-02-06,data_driven,CE,23600.0,2025-02-13,7,289.95,213.75,25,-1904.9999999999998,True
2025-02-24,data_driven,CE,22550.0,2025-02-27,3,225.0,140.25,25,-2118.75,False
2025-02-28,data_driven,CE,22100.0,2025-03-06,6,414.95,196.75,25,-5455.0,True
2025-03-03,data_driven,CE,22100.0,2025-03-06,3,205.0,146.2,25,-1470.0000000000002,False
2025-03-04,data_driven,CE,22100.0,2025-03-06,2,75.0,85.7,25,267.50000000000006,False
2025-03-06,data_driven,PE,22550.0,2025-03-13,7,202.0,162.3,25,-992.4999999999998,False
2025-03-07,data_driven,CE,22550.0,2025-03-13,6,144.15,157.6,25,336.2499999999997,False
2025-03-10,data_driven,CE,22450.0,2025-03-13,3,210.0,126.55,25,-2086.25,True
2025-03-11,data_driven,CE,22500.0,2025-03-13,2,62.0,104.2,25,1055.0,False
