Date,strategy,position,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2024-12-23,data_driven,LONG,2024-12-26,3,23725.05,23769.75,25,1117.5000000000182,False
2024-12-24,data_driven,LONG,2024-12-26,2,23765.95,23770.6,25,116.24999999994543,False
2024-12-26,data_driven,SHORT,2025-01-30,35,23985.0,23919.75,25,1631.25,False
2024-12-31,data_driven,LONG,2025-01-30,30,23700.0,23805.85,25,2646.2499999999636,True
2025-01-06,data_driven,LONG,2025-01-30,24,24145.1,23721.05,25,-10601.249999999982,True
2025-01-08,data_driven,LONG,2025-01-30,22,23800.0,23781.35,25,-466.2500000000364,False
2025-01-13,data_driven,LONG,2025-01-30,17,23400.0,23162.1,25,-5947.500000000036,True
2025-01-16,data_driven,SHORT,2025-01-30,14,23406.0,23377.55,25,711.2500000000182,False
2025-01-28,data_driven,LONG,2025-01-30,2,22948.0,22977.7,25,742.5000000000182,True
2025-01-29,data_driven,SHORT,2025-01-30,1,23034.0,23148.25,25,-2856.25,False
2025-02-05,data_driven,SHORT,2025-02-27,22,23825.0,23772.6,25,1310.0000000000364,True
2025-02-06,data_driven,LONG,2025-02-27,21,23822.4,23688.9,25,-3337.5,True
2025-02-24,data_driven,LONG,2025-02-27,3,22674.7,22612.65,25,-1551.2499999999818,False
2025-02-28,data_driven,LONG,2025-03-27,27,22532.4,22280.05,25,-6308.750000000055,True
2025-03-03,data_driven,LONG,2025-03-27,24,22341.0,22259.8,25,-2030.0000000000182,False
2025-03-04,data_driven,LONG,2025-03-27,23,22115.6,22191.05,25,1886.2500000000182,False
2025-03-06,data_driven,SHORT,2025-03-27,21,22541.0,22620.95,25,-1998.7500000000182,False
2025-03-07,data_driven,LONG,2025-03-27,20,22598.9,22649.95,25,1276.2499999999818,False
2025-03-10,data_driven,LONG,2025-03-27,17,22599.9,22515.65,25,-2106.25,True
2025-03-11,data_driven,LONG,2025-03-27,16,22419.95,22564.3,25,3608.7499999999636,False
2025-03-13,data_driven,LONG,2025-03-27,14,22550.0,22444.25,25,-2643.75,False
2025-03-17,data_driven,SHORT,2025-03-27,10,22510.2,22584.3,25,-1852.4999999999636,False
2025-03-20,data_driven,SHORT,2025-03-27,7,23069.9,23200.25,25,-3258.7499999999636,True
2025-03-25,data_driven,SHORT,2025-03-27,2,23767.1,23705.35,25,1543.75,False
2025-04-04,data_driven,LONG,2025-04-24,20,23229.7,22958.15,25,-6788.749999999982,False
2025-04-09,data_driven,LONG,2025-04-24,15,22544.0,22479.65,25,-1608.7499999999636,True
2025-04-11,data_driven,SHORT,2025-04-24,13,22746.0,22917.65,25,-4291.250000000036,True
2025-04-15,data_driven,SHORT,2025-04-24,9,23295.0,23340.9,25,-1147.5000000000364,True
2025-04-17,data_driven,SHORT,2025-04-24,7,23399.9,23851.3,25,-11284.999999999945,True
2025-04-21,data_driven,SHORT,2025-04-24,3,23875.9,24135.5,25,-6489.999999999964,False
2025-04-22,data_driven,SHORT,2025-04-24,2,24150.0,24169.0,25,-475.0,False
2025-04-23,data_driven,SHORT,2025-04-24,1,24310.0,24312.7,25,-67.50000000001819,False
2025-04-24,data_driven,LONG,2025-05-29,35,24450.0,24373.0,25,-1925.0,False
2025-04-25,data_driven,LONG,2025-05-29,34,24465.0,24139.1,25,-8147.500000000036,True
2025-04-28,data_driven,SHORT,2025-05-29,31,24200.2,24452.8,25,-6314.999999999964,True
2025-05-05,data_driven,SHORT,2025-05-29,24,24481.1,24553.7,25,-1815.0000000000546,True
2025-05-13,data_driven,LONG,2025-05-29,16,24960.0,24640.2,25,-7994.999999999982,False
2025-05-22,data_driven,LONG,2025-05-29,7,24778.0,24652.2,25,-3144.999999999982,False
2025-05-26,data_driven,LONG,2025-05-29,3,24950.0,25035.9,25,2147.5000000000364,True
2025-05-27,data_driven,LONG,2025-05-29,2,25000.0,24862.6,25,-3435.0000000000364,True
2025-05-28,data_driven,LONG,2025-05-29,1,24772.6,24762.5,25,-252.49999999996362,False
2025-06-09,data_driven,SHORT,2025-06-26,17,25205.0,25181.8,25,580.0000000000182,False
2025-06-16,data_driven,LONG,2025-06-26,10,24755.5,24996.2,25,6017.500000000018,True
2025-06-17,data_driven,LONG,2025-06-26,9,24996.1,24868.8,25,-3182.499999999982,False
2025-06-18,data_driven,SHORT,2025-06-26,8,24840.1,24826.9,25,329.99999999992724,False
2025-06-19,data_driven,SHORT,2025-06-26,7,24813.0,24803.1,25,247.50000000003638,True
2025-06-20,data_driven,SHORT,2025-06-26,6,24825.0,25111.7,25,-7167.500000000018,True
2025-06-23,data_driven,LONG,2025-06-26,3,24975.0,24993.3,25,457.4999999999818,True
2025-06-25,data_driven,SHORT,2025-06-26,1,25152.1,25252.2,25,-2502.5000000000546,True
2021-01-28,manual_agree,LONG,2021-02-25,28,13885.0,13844.4,75,-3045.0000000000273,False
2021-02-02,manual_agree,SHORT,2021-02-25,23,14519.0,14696.0,75,-13275.0,True
2021-02-04,manual_agree,SHORT,2021-02-25,21,14765.0,14895.35,75,-9776.250000000027,True
2021-02-23,manual_agree,LONG,2021-02-25,2,14755.25,14711.55,75,-3277.5000000000546,True
2021-02-25,manual_agree,SHORT,2021-03-25,28,15075.8,15169.5,75,-7027.500000000055,True
2021-03-04,manual_agree,LONG,2021-03-25,21,15047.95,15106.25,75,4372.499999999945,True
2021-08-24,manual_agree,SHORT,2021-08-26,2,16555.4,16620.25,75,-4863.749999999891,True
2021-09-24,manual_agree,SHORT,2021-09-30,6,17894.95,17853.6,75,3101.2500000001637,False
2021-09-29,manual_agree,LONG,2021-09-30,1,17669.0,17708.0,75,2925.0,True
2021-12-01,manual_agree,LONG,2021-12-30,29,17118.9,17221.9,75,7725.0,True
2021-12-06,manual_agree,LONG,2021-12-30,24,17247.7,16957.15,75,-21791.249999999945,True
2022-01-19,manual_agree,LONG,2022-01-27,8,18094.0,17974.1,50,-5995.000000000073,True
2022-02-02,manual_agree,SHORT,2022-02-24,22,17705.25,17795.9,50,-4532.500000000073,True
2022-03-02,manual_agree,LONG,2022-03-31,29,16595.0,16613.45,50,922.5000000000364,True
